tran_id,orig_acct,bene_acct,tx_type,base_amt,tran_timestamp,is_sar,alert_id
1,723,951,TRANSFER,649.5,2021-01-01T00:00:00Z,False,-1
2,485,27,PAYMENT,785.77,2021-01-01T00:00:00Z,False,-1
3,949,960,TRANSFER,591.65,2021-01-01T00:00:00Z,False,-1
4,498,271,TRANSFER,482.39,2021-01-01T00:00:00Z,False,-1
5,22,776,TRANSFER,1028.02,2021-01-01T00:00:00Z,False,-1
6,402,214,CASH_IN,882.35,2021-01-01T00:00:00Z,False,-1
7,167,593,TRANSFER,137.95,2021-01-01T00:00:00Z,False,-1
8,206,205,PAYMENT,778.12,2021-01-01T00:00:00Z,False,-1
9,948,335,TRANSFER,160.52,2021-01-01T00:00:00Z,False,-1
10,936,998,TRANSFER,618.69,2021-01-01T00:00:00Z,False,-1
11,696,43,TRANSFER,408.24,2021-01-01T00:00:00Z,False,-1
12,201,379,CASH_IN,332.5,2021-01-01T00:00:00Z,False,-1
13,519,180,PAYMENT,127.98,2021-01-01T00:00:00Z,False,-1
14,828,920,CASH_OUT,782.8,2021-01-01T00:00:00Z,False,-1
15,144,937,TRANSFER,316.76,2021-01-01T00:00:00Z,False,-1
16,504,515,PAYMENT,130.46,2021-01-01T00:00:00Z,False,-1
17,762,620,DEPOSIT,736.86,2021-01-01T00:00:00Z,False,-1
18,191,797,CASH_IN,545.29,2021-01-01T00:00:00Z,False,-1
19,677,985,DEPOSIT,951.22,2021-01-01T00:00:00Z,False,-1
20,145,260,TRANSFER,947.48,2021-01-01T00:00:00Z,False,-1
21,584,372,TRANSFER,247.16,2021-01-01T00:00:00Z,False,-1
22,529,74,PAYMENT,729.33,2021-01-01T00:00:00Z,False,-1
23,169,740,CASH_IN,238.98,2021-01-01T00:00:00Z,False,-1
24,982,950,CASH_OUT,452.13,2021-01-01T00:00:00Z,False,-1
25,521,194,PAYMENT,693.76,2021-01-01T00:00:00Z,False,-1
26,60,360,CASH_IN,447.03,2021-01-01T00:00:00Z,False,-1
27,482,339,CASH_OUT,174.57,2021-01-01T00:00:00Z,False,-1
28,539,167,TRANSFER,313.23,2021-01-01T00:00:00Z,False,-1
29,565,519,PAYMENT,208.5,2021-01-01T00:00:00Z,False,-1
